"Page path level 3";"Page Title";"Pageviews";"Unique Pageviews";"Avg. Time on Page";"Bounce Rate";"% Exit"
"/esp8266-thing-hookup-guide/";"Discuss Tutorial: ESP8266 Thing Hookup Guide - learn.sparkfun.com";"7,033";"5,799";"00:06:08";"61.12%";"63.16%"
"/esp8266-wifi-shield-hookup-guide/";"ESP8266 WiFi Shield Hookup Guide - learn.sparkfun.com";"7,033";"6,787";"00:04:09";"74.36%";"64.91%"
"/ir-control-kit-hookup-guide/";"IR Control Kit Hookup Guide - learn.sparkfun.com";"7,033";"5,553";"00:01:34";"66.68%";"38.60%"
"/led-cloud-connected-cloud/";"LED Cloud-Connected Cloud - learn.sparkfun.com";"7,033";"5,676";"00:03:26";"81.48%";"54.39%"
"/setting-up-raspbian-and-doom/";"Setting up Raspbian (and DOOM!) - learn.sparkfun.com";"6,910";"5,923";"00:07:18";"84.78%";"80.36%"
"/tags/";"Projects | Tutorials - learn.sparkfun.com";"6,416";"6,170";"00:01:24";"100.00%";"21.15%"
"/electronics-assembly/";"Electronics Assembly - learn.sparkfun.com";"6,293";"5,553";"00:02:26";"69.23%";"62.75%"
"/serial-graphic-lcd-hookup/";"Serial Graphic LCD Hookup - learn.sparkfun.com";"6,046";"4,195";"00:03:48";"66.76%";"22.44%"
"/tags/";"Internet of Things | Tutorials - learn.sparkfun.com";"6,046";"5,429";"00:02:33";"68.56%";"61.23%"
"/digital-logic/";"Digital Logic - learn.sparkfun.com";"5,676";"5,059";"00:02:34";"91.99%";"58.70%"
"/using-github-to-share-with-sparkfun/";"Using GitHub to Share with SparkFun - learn.sparkfun.com";"5,676";"5,429";"00:04:34";"84.22%";"80.43%"
"/sparkfun-inventors-kit-for-edison-experiment-guide/";"SparkFun Inventor's Kit for Edison Experiment Guide - learn.sparkfun.com";"5,553";"4,812";"00:02:19";"63.67%";"31.10%"
"/oled-display-hookup-guide/";"OLED Display Hookup Guide - learn.sparkfun.com";"5,429";"3,702";"00:00:45";"0.00%";"6.82%"
"/badgerhack/";"BadgerHack - learn.sparkfun.com";"5,306";"4,689";"00:01:10";"50.05%";"34.89%"
"/hexadecimal/";"Hexadecimal - learn.sparkfun.com";"5,306";"4,319";"00:04:44";"88.88%";"58.14%"
"/battery-technologies/";"Battery Technologies - learn.sparkfun.com";"5,182";"4,936";"00:01:10";"84.38%";"78.58%"
"/let-it-glow-holiday-cards/";"Let It Glow Holiday Cards - learn.sparkfun.com";"5,059";"2,468";"00:01:02";"50.00%";"9.76%"
"/loading-debian-ubilinux-on-the-edison/";"Discuss Tutorial: Loading Debian (Ubilinux) on the Edison - learn.sparkfun.com";"4,936";"3,949";"00:05:56";"84.22%";"62.50%"
"/mp3-player-shield-hookup/";"MP3 Player Shield Hookup - learn.sparkfun.com";"4,936";"3,085";"00:04:37";"39.98%";"32.50%"
"/getting-started-with-the-redbot/";"Getting Started with the RedBot - learn.sparkfun.com";"4,812";"3,949";"00:00:56";"61.53%";"33.33%"
"/tags/";"E-Textiles | Tutorials - learn.sparkfun.com";"4,812";"3,702";"00:01:08";"57.16%";"35.89%"
"/tsl2561-luminosity-sensor-hookup-guide/";"TSL2561 Luminosity Sensor Hookup Guide - learn.sparkfun.com";"4,812";"4,195";"00:03:34";"85.70%";"66.67%"
"/light/";"Light - learn.sparkfun.com";"4,689";"3,825";"00:03:11";"71.99%";"63.15%"
"/arduino-comparison-guide/";"Arduino Comparison Guide - learn.sparkfun.com";"4,565";"3,949";"00:02:24";"67.84%";"59.47%"
"/led-light-bar-hookup/";"LED Light Bar Hookup - learn.sparkfun.com";"4,565";"4,319";"00:02:06";"73.07%";"62.17%"
"/tags/";"LilyPad | Tutorials - learn.sparkfun.com";"4,565";"3,455";"00:01:09";"44.44%";"35.14%"
"/pcduino-hookup-guide/";"pcDuino Hookup Guide - learn.sparkfun.com";"4,442";"3,825";"00:02:13";"66.68%";"63.89%"
"/light-emitting-diodes-leds/";"Light-emitting Diodes (LEDs) - learn.sparkfun.com";"4,319";"2,591";"00:01:58";"50.05%";"22.85%"
"/blynk-board-project-guide/";"Blynk Board Project Guide - learn.sparkfun.com";"4,072";"3,825";"00:01:26";"100.00%";"21.22%"
"/rn-52-bluetooth-hookup-guide/";"RN-52 Bluetooth Hookup Guide - learn.sparkfun.com";"3,825";"3,208";"00:01:45";"37.49%";"29.05%"
"/tags/";"Single Board Computer | Tutorials - learn.sparkfun.com";"3,825";"3,455";"00:02:48";"81.26%";"48.39%"
"/make-your-own-fritzing-parts/";"Make Your Own Fritzing Parts - learn.sparkfun.com";"3,702";"3,208";"00:05:03";"75.00%";"63.32%"
"/tags/";"Components | Tutorials - learn.sparkfun.com";"3,702";"3,085";"00:00:56";"9.97%";"16.67%"
"/photon-oled-shield-hookup-guide/";"Photon OLED Shield Hookup Guide - learn.sparkfun.com";"3,332";"1,974";"00:02:08";"19.94%";"14.83%"
"/weather-station-wirelessly-connected-to-wunderground/";"Weather Station Wirelessly Connected to Wunderground - learn.sparkfun.com";"3,332";"2,838";"00:02:43";"70.59%";"59.24%"
"/light-up-fathers-day-card/";"Light-Up Father's Day Card - learn.sparkfun.com";"3,208";"2,221";"00:00:39";"76.45%";"53.83%"
"/wifly-shield-hookup-guide/";"WiFly Shield Hookup Guide - learn.sparkfun.com";"3,208";"2,591";"00:05:08";"60.02%";"57.70%"
"/edison-getting-started-guide/";"Edison Getting Started Guide - learn.sparkfun.com";"3,085";"1,974";"00:01:04";"50.00%";"11.99%"
"/htu21d-humidity-sensor-hookup-guide/";"HTU21D Humidity Sensor Hookup Guide - learn.sparkfun.com";"3,085";"2,344";"00:02:18";"50.03%";"36.01%"
"/how-to-power-a-project/";"How to Power a Project - learn.sparkfun.com";"2,838";"2,715";"00:01:18";"83.32%";"52.18%"
"/tags/";"Sensors | Tutorials - learn.sparkfun.com";"2,838";"2,468";"00:00:50";"66.76%";"17.41%"
"/wireless-arduino-programming-with-electric-imp/";"Wireless Arduino Programming with Electric Imp - learn.sparkfun.com";"2,838";"2,591";"00:03:03";"88.23%";"82.59%"
"/how-to-sell-your-widget-on-sparkfun/";"How to Sell Your Widget on SparkFun - learn.sparkfun.com";"2,715";"1,851";"00:02:57";"0.00%";"18.20%"
"/redboard-vs-uno/";"RedBoard vs. Uno - learn.sparkfun.com";"2,715";"2,468";"00:00:16";"78.58%";"72.71%"
"/sound-detector-hookup-guide/";"Sound Detector Hookup Guide - learn.sparkfun.com";"2,715";"2,344";"00:01:35";"66.76%";"40.92%"
"/";"Tutorials - learn.sparkfun.com";"2,591";"2,344";"00:01:28";"33.36%";"38.09%"
"/elastolite-hookup-guide/";"ELastoLite Hookup Guide - learn.sparkfun.com";"2,591";"1,851";"00:03:55";"0.00%";"19.07%"
"/how-leds-are-made/";"How LEDs are Made - learn.sparkfun.com";"2,591";"2,344";"00:00:52";"88.88%";"90.47%"
"/understanding-the-bc127-bluetooth-module/";"Understanding the BC127 Bluetooth Module - learn.sparkfun.com";"2,591";"2,468";"00:04:14";"61.53%";"52.37%"
"/using-the-logic-level-converter/";"Using the Logic Level Converter - learn.sparkfun.com";"2,591";"1,974";"00:00:59";"61.53%";"52.37%"
"/vernier-shield-hookup-guide/";"Vernier Shield Hookup Guide - learn.sparkfun.com";"2,591";"2,098";"00:00:33";"83.32%";"57.16%"
"/galileo-unread-email-counter/";"Galileo Unread Email Counter - learn.sparkfun.com";"2,468";"2,098";"00:02:19";"73.31%";"69.98%"
"/dotbar-display-driver-hookup-guide/";"Dot/Bar Display Driver Hookup Guide - learn.sparkfun.com";"2,344";"1,974";"00:02:40";"71.41%";"52.65%"
"/leap-motion-teardown/";"Leap Motion Teardown - learn.sparkfun.com";"2,344";"1,727";"00:01:03";"19.94%";"31.57%"
"/light-up-valentine-cards/";"Light-Up Valentine Cards - learn.sparkfun.com";"2,344";"1,357";"00:00:21";"33.24%";"15.78%"
"/redbot-assembly-guide/";"RedBot Assembly Guide - learn.sparkfun.com";"2,344";"2,344";"00:01:26";"33.24%";"15.78%"
"/tags/";"XBee | Tutorials - learn.sparkfun.com";"2,344";"1,727";"00:02:33";"0.00%";"5.25%"
"/cryptocape-hookup-guide/";"CryptoCape Hookup Guide - learn.sparkfun.com";"2,221";"1,234";"00:02:21";"50.05%";"33.32%"
"/ardumoto-shield-hookup-guide/";"Ardumoto Shield Hookup Guide - learn.sparkfun.com";"2,098";"1,851";"00:04:20";"70.02%";"58.82%"
"/makey-makey-advanced-guide/";"MaKey MaKey Advanced Guide - learn.sparkfun.com";"2,098";"1,974";"00:04:36";"63.67%";"58.82%"
"/micro-oled-breakout-hookup-guide/";"Micro OLED Breakout Hookup Guide - learn.sparkfun.com";"2,098";"1,604";"00:01:44";"66.61%";"47.04%"
"/cc3000-hookup-guide/";"Discuss Tutorial: CC3000 Hookup Guide - learn.sparkfun.com";"1,974";"1,851";"00:04:12";"66.61%";"62.51%"
"/loading-debian-ubilinux-on-the-edison/";"Loading Debian (Ubilinux) on the Edison - learn.sparkfun.com";"1,851";"1,604";"00:05:02";"59.97%";"39.98%"
"/tags/";"WiFi | Tutorials - learn.sparkfun.com";"1,851";"1,357";"00:00:49";"66.76%";"19.99%"
"/voltage-current-resistance-and-ohms-law/";"Discuss Tutorial: Voltage, Current, Resistance, and Ohm's Law - learn.sparkfun.com";"1,851";"1,481";"00:02:50";"50.00%";"33.33%"
"/motors-and-selecting-the-right-one/";"Motors and Selecting the Right One - learn.sparkfun.com";"1,727";"1,357";"00:09:27";"59.97%";"64.33%"
"/myst-linking-book/";"MYST Linking Book - learn.sparkfun.com";"1,727";"1,357";"00:07:23";"55.54%";"50.03%"
"/rotary-switch-potentiometer-hookup-guide/";"Rotary Switch Potentiometer Hookup Guide - learn.sparkfun.com";"1,727";"1,604";"00:00:19";"88.84%";"57.15%"
"/shapeoko-coaster-project/";"Shapeoko Coaster Project - learn.sparkfun.com";"1,727";"1,111";"00:02:38";"0.00%";"14.30%"
"/easy-driver-hook-up-guide/";"Discuss Tutorial: Easy Driver Hook-up Guide - learn.sparkfun.com";"1,604";370;"00:00:32";"0.00%";"23.07%"
"/hmc6343-3-axis-compass-hookup-guide/";"HMC6343 3-axis Compass Hookup Guide - learn.sparkfun.com";"1,604";987;"00:02:31";"0.00%";"15.40%"
"/installing-a-bootloader-on-the-microview/";"Installing a Bootloader on the MicroView - learn.sparkfun.com";"1,604";"1,481";"00:00:30";"57.18%";"46.13%"
"/load-cell-amplifier-hx711-breakout-hookup-guide/";"Discuss Tutorial: Load Cell Amplifier HX711 Breakout Hookup Guide - learn.sparkfun.com";"1,604";"1,357";"00:01:42";"55.54%";"53.87%"
"/mg2639-cellular-shield-hookup-guide/";"MG2639 Cellular Shield Hookup Guide - learn.sparkfun.com";"1,604";"1,481";"00:03:16";"77.77%";"69.26%"
"/tags/";"Wearables | Tutorials - learn.sparkfun.com";"1,604";"1,481";"00:00:24";"59.97%";"53.87%"
"/the-great-big-guide-to-paper-circuits/";"The Great Big Guide to Paper Circuits - learn.sparkfun.com";"1,604";"1,234";"00:07:51";"62.51%";"53.87%"
"/using-eagle-board-layout/";"BZZZZZZZZT - SparkFun Electronics";"1,604";370;"00:00:01";"49.80%";"23.07%"
"/adxl337-and-adxl377-accelerometer-hookup-guide/";"ADXL337 and ADXL377 Accelerometer Hookup Guide - learn.sparkfun.com";"1,481";"1,481";"00:00:39";"100.00%";"58.34%"
"/getting-started-with-the-autodriver/";"Getting Started with the AutoDriver - learn.sparkfun.com";"1,481";"1,481";"00:01:22";"80.06%";"49.97%"
"/tags/";"Skill | Tutorials - learn.sparkfun.com";"1,481";"1,481";"00:01:56";"0.00%";"16.68%"
"/accelerometer-basics/";"Accelerometer Basics - learn.sparkfun.com";"1,357";"1,357";"00:00:14";"90.94%";"90.94%"
"/crypto-shield-hookup-guide/";"Crypto Shield Hookup Guide - learn.sparkfun.com";"1,357";987;"00:07:29";"85.65%";"63.67%"
"/getting-started-with-the-lilypad-mp3-player/";"Getting Started with the LilyPad MP3 Player - learn.sparkfun.com";"1,357";"1,357";"00:01:14";"59.97%";"63.67%"
"/load-cell-amplifier-hx711-breakout-hookup-guide/";"Load Cell Amplifier HX711 Breakout Hookup Guide - learn.sparkfun.com";"1,357";"1,111";"00:05:02";"66.76%";"63.67%"
"/servo-trigger-hookup-guide/";"Servo Trigger Hookup Guide - learn.sparkfun.com";"1,357";864;"00:00:40";"66.76%";"27.27%"
"/tags/";"ATtiny | Tutorials - learn.sparkfun.com";"1,357";"1,234";"00:03:26";"28.59%";"45.47%"
"/tags/";"Programming | Tutorials - learn.sparkfun.com";"1,357";"1,234";"00:01:30";"66.76%";"18.20%"
"/tags/";"Soldering | Tutorials - learn.sparkfun.com";"1,357";987;"00:00:33";"0.00%";"18.20%"
"/rn-52-bluetooth-hookup-guide/";"Discuss Tutorial: RN-52 Bluetooth Hookup Guide - learn.sparkfun.com";"1,234";"1,111";"00:01:41";"50.00%";"40.03%"
"/sik-experiment-guide-for-arduino---v32/";"ERROR - 404 - NOT FOUND - learn.sparkfun.com";"1,234";370;"00:00:20";"0.00%";"0.00%"
"/sparkfun-blocks-for-intel-edison---arduino-block/";"SparkFun Blocks for Intel® Edison - Arduino Block - learn.sparkfun.com";"1,234";"1,111";"00:00:13";"71.41%";"50.00%"
"/tags/";"BeagleBone | Tutorials - learn.sparkfun.com";"1,234";"1,234";"00:00:25";"66.76%";"40.03%"
"/tags/";"Computer Engineering | Tutorials - learn.sparkfun.com";"1,234";"1,234";"00:01:04";"66.76%";"29.98%"
